v8-version,7,8,279,23,-node.46,0
code-creation,Builtin,3,1958,0x13b5140,413,ArraySingleArgumentConstructor_HoleySmi_DisableAllocationSites
code-creation,Builtin,3,1962,0x13b52e0,249,ArraySingleArgumentConstructor_Packed_DisableAllocationSites
code-creation,Builtin,3,1966,0x13b53e0,413,ArraySingleArgumentConstructor_Holey_DisableAllocationSites
code-creation,Builtin,3,1969,0x13b5580,249,ArraySingleArgumentConstructor_PackedDouble_DisableAllocationSites
code-creation,Builtin,3,1973,0x13b5680,429,ArraySingleArgumentConstructor_HoleyDouble_DisableAllocationSites
code-creation,Builtin,3,1976,0x13b5840,68,ArrayNArgumentsConstructor
code-creation,Builtin,3,1979,0x13b58a0,5,InternalArrayConstructor
code-creation,Builtin,3,1982,0x13b58c0,5,InternalArrayConstructorImpl
code-creation,Builtin,3,1985,0x13b58e0,189,InternalArrayNoArgumentConstructor_Packed
code-creation,Builtin,3,1988,0x13b59a0,12,ArrayConcat
code-creation,Builtin,3,1991,0x13b59c0,150,ArrayIsArray
code-creation,Builtin,3,1994,0x13b5a60,12,ArrayPrototypeFill
code-creation,Builtin,3,1997,0x13b5a80,3916,ArrayFrom
code-creation,Builtin,3,1999,0x13b69e0,970,ArrayIncludesSmiOrObject
code-creation,Builtin,3,2002,0x13b6dc0,136,ArrayIncludesPackedDoubles
code-creation,Builtin,3,2005,0x13b6e60,204,ArrayIncludesHoleyDoubles
code-creation,Builtin,3,2008,0x13b6f40,557,ArrayIncludes
code-creation,Builtin,3,2011,0x13b7180,890,ArrayIndexOfSmiOrObject
code-creation,Builtin,3,2014,0x13b7500,108,ArrayIndexOfPackedDoubles
code-creation,Builtin,3,2017,0x13b7580,108,ArrayIndexOfHoleyDoubles
code-creation,Builtin,3,2020,0x13b7600,565,ArrayIndexOf
code-creation,Builtin,3,2023,0x13b7840,12,ArrayPop
code-creation,Builtin,3,2025,0x13b7860,708,ArrayPrototypePop
code-creation,Builtin,3,2028,0x13b7b40,12,ArrayPush
code-creation,Builtin,3,2030,0x13b7b60,2742,ArrayPrototypePush
code-creation,Builtin,3,2033,0x13b8620,12,ArrayShift
code-creation,Builtin,3,2036,0x13b8640,12,ArrayUnshift
code-creation,Builtin,3,2038,0x13b8660,1106,CloneFastJSArray
code-creation,Builtin,3,2041,0x13b8ac0,2566,CloneFastJSArrayFillingHoles
code-creation,Builtin,3,2044,0x13b94e0,1146,ExtractFastJSArray
code-creation,Builtin,3,2047,0x13b9960,299,ArrayPrototypeEntries
code-creation,Builtin,3,2050,0x13b9aa0,279,ArrayPrototypeKeys
code-creation,Builtin,3,2053,0x13b9bc0,299,ArrayPrototypeValues
code-creation,Builtin,3,2056,0x13b9d00,4292,ArrayIteratorPrototypeNext
code-creation,Builtin,3,2059,0x13bade0,3800,FlattenIntoArray
code-creation,Builtin,3,2061,0x13bbcc0,3764,FlatMapIntoArray
code-creation,Builtin,3,2064,0x13bcb80,528,ArrayPrototypeFlat
code-creation,Builtin,3,2067,0x13bcda0,576,ArrayPrototypeFlatMap
code-creation,Builtin,3,2070,0x13bd000,12,ArrayBufferConstructor
code-creation,Builtin,3,2073,0x13bd020,12,ArrayBufferConstructor_DoNotInitialize
code-creation,Builtin,3,2076,0x13bd040,12,ArrayBufferPrototypeGetByteLength
code-creation,Builtin,3,2079,0x13bd060,12,ArrayBufferIsView
code-creation,Builtin,3,2082,0x13bd080,12,ArrayBufferPrototypeSlice
code-creation,Builtin,3,2084,0x13bd0a0,628,AsyncFunctionEnter
code-creation,Builtin,3,2089,0x13bd320,161,AsyncFunctionReject
code-creation,Builtin,3,2092,0x13bd3e0,153,AsyncFunctionResolve
code-creation,Builtin,3,2095,0x13bd480,20,AsyncFunctionLazyDeoptContinuation
code-creation,Builtin,3,2098,0x13bd4a0,1298,AsyncFunctionAwaitCaught
code-creation,Builtin,3,2101,0x13bd9c0,1298,AsyncFunctionAwaitUncaught
code-creation,Builtin,3,2104,0x13bdee0,187,AsyncFunctionAwaitRejectClosure
code-creation,Builtin,3,2107,0x13bdfa0,179,AsyncFunctionAwaitResolveClosure
code-creation,Builtin,3,2110,0x13be060,12,BigIntConstructor
code-creation,Builtin,3,2113,0x13be080,12,BigIntAsUintN
code-creation,Builtin,3,2115,0x13be0a0,12,BigIntAsIntN
code-creation,Builtin,3,2118,0x13be0c0,12,BigIntPrototypeToLocaleString
code-creation,Builtin,3,2121,0x13be0e0,12,BigIntPrototypeToString
code-creation,Builtin,3,2124,0x13be100,12,BigIntPrototypeValueOf
code-creation,Builtin,3,2127,0x13be120,186,BooleanPrototypeToString
code-creation,Builtin,3,2130,0x13be1e0,178,BooleanPrototypeValueOf
code-creation,Builtin,3,2133,0x13be2a0,12,CallSitePrototypeGetColumnNumber
code-creation,Builtin,3,2136,0x13be2c0,12,CallSitePrototypeGetEvalOrigin
code-creation,Builtin,3,2139,0x13be2e0,12,CallSitePrototypeGetFileName
code-creation,Builtin,3,2142,0x13be300,12,CallSitePrototypeGetFunction
code-creation,Builtin,3,2145,0x13be320,12,CallSitePrototypeGetFunctionName
code-creation,Builtin,3,2148,0x13be340,12,CallSitePrototypeGetLineNumber
code-creation,Builtin,3,2151,0x13be360,12,CallSitePrototypeGetMethodName
code-creation,Builtin,3,2154,0x13be380,12,CallSitePrototypeGetPosition
code-creation,Builtin,3,2157,0x13be3a0,12,CallSitePrototypeGetPromiseIndex
code-creation,Builtin,3,2160,0x13be3c0,12,CallSitePrototypeGetScriptNameOrSourceURL
code-creation,Builtin,3,2163,0x13be3e0,12,CallSitePrototypeGetThis
code-creation,Builtin,3,2166,0x13be400,12,CallSitePrototypeGetTypeName
code-creation,Builtin,3,2169,0x13be420,12,CallSitePrototypeIsAsync
code-creation,Builtin,3,2172,0x13be440,12,CallSitePrototypeIsConstructor
code-creation,Builtin,3,2175,0x13be460,12,CallSitePrototypeIsEval
code-creation,Builtin,3,2178,0x13be480,12,CallSitePrototypeIsNative
code-creation,Builtin,3,2181,0x13be4a0,12,CallSitePrototypeIsPromiseAll
code-creation,Builtin,3,2184,0x13be4c0,12,CallSitePrototypeIsToplevel
code-creation,Builtin,3,2187,0x13be4e0,12,CallSitePrototypeToString
code-creation,Builtin,3,2190,0x13be500,12,ConsoleDebug
