v8-version,7,8,279,23,-node.46,0
code-creation,Builtin,3,1766,0x1395d60,275,ToNumeric
code-creation,Builtin,3,1768,0x1395e80,261,NumberToString
code-creation,Builtin,3,1772,0x1395fa0,466,ToInteger
code-creation,Builtin,3,1774,0x1396180,478,ToInteger_TruncateMinusZero
code-creation,Builtin,3,1777,0x1396360,394,ToLength
code-creation,Builtin,3,1780,0x1396500,140,Typeof
code-creation,Builtin,3,1782,0x13965a0,69,GetSuperConstructor
code-creation,Builtin,3,1785,0x1396600,133,BigIntToI64
code-creation,Builtin,3,1788,0x13966a0,12,BigIntToI32Pair
code-creation,Builtin,3,1791,0x13966c0,285,I64ToBigInt
code-creation,Builtin,3,1796,0x13967e0,12,I32PairToBigInt
code-creation,Builtin,3,1799,0x1396800,112,ToBooleanLazyDeoptContinuation
code-creation,Builtin,3,1802,0x1396880,2585,KeyedLoadIC_PolymorphicName
code-creation,Builtin,3,1805,0x13972a0,36,KeyedLoadIC_Slow
code-creation,Builtin,3,1808,0x13972e0,16522,KeyedStoreIC_Megamorphic
code-creation,Builtin,3,1811,0x139b380,40,KeyedStoreIC_Slow
code-creation,Builtin,3,1814,0x139b3c0,40,LoadGlobalIC_Slow
code-creation,Builtin,3,1816,0x139b400,68,LoadIC_FunctionPrototype
code-creation,Builtin,3,1819,0x139b460,36,LoadIC_Slow
code-creation,Builtin,3,1822,0x139b4a0,20,LoadIC_StringLength
code-creation,Builtin,3,1825,0x139b4c0,24,LoadIC_StringWrapperLength
code-creation,Builtin,3,1828,0x139b4e0,2940,LoadIC_NoFeedback
code-creation,Builtin,3,1830,0x139c060,40,StoreGlobalIC_Slow
code-creation,Builtin,3,1833,0x139c0a0,6704,StoreIC_NoFeedback
code-creation,Builtin,3,1836,0x139dae0,40,StoreInArrayLiteralIC_Slow
code-creation,Builtin,3,1842,0x139db20,368,KeyedLoadIC_SloppyArguments
code-creation,Builtin,3,1845,0x139dca0,80,LoadIndexedInterceptorIC
code-creation,Builtin,3,1848,0x139dd00,40,StoreInterceptorIC
code-creation,Builtin,3,1851,0x139dd40,536,KeyedStoreIC_SloppyArguments_Standard
code-creation,Builtin,3,1854,0x139df60,536,KeyedStoreIC_SloppyArguments_GrowNoTransitionHandleCOW
code-creation,Builtin,3,1857,0x139e180,536,KeyedStoreIC_SloppyArguments_NoTransitionIgnoreOOB
code-creation,Builtin,3,1861,0x139e3a0,536,KeyedStoreIC_SloppyArguments_NoTransitionHandleCOW
code-creation,Builtin,3,1864,0x139e5c0,40,StoreInArrayLiteralIC_Slow_Standard
code-creation,Builtin,3,1867,0x139e600,5784,StoreFastElementIC_Standard
code-creation,Builtin,3,1870,0x139fca0,6716,StoreFastElementIC_GrowNoTransitionHandleCOW
code-creation,Builtin,3,1873,0x13a16e0,5776,StoreFastElementIC_NoTransitionIgnoreOOB
code-creation,Builtin,3,1876,0x13a2d80,3220,StoreFastElementIC_NoTransitionHandleCOW
code-creation,Builtin,3,1879,0x13a3a20,40,StoreInArrayLiteralIC_Slow_GrowNoTransitionHandleCOW
code-creation,Builtin,3,1883,0x13a3a60,40,StoreInArrayLiteralIC_Slow_NoTransitionIgnoreOOB
